order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery
ORD000018,CUST22773,delivered,2022-04-06 00:00:00,2022-04-06 01:00:00,2022-04-11 00:00:00,2022-04-13
ORD000108,CUST08440,delivered,2022-03-15 00:00:00,2022-03-15 03:00:00,2022-03-22 00:00:00,2022-03-27
ORD000215,CUST22869,returned,2024-05-30 00:00:00,2024-05-30 02:00:00,,2024-06-09
ORD000220,CUST28535,delivered,2023-05-19 00:00:00,2023-05-19 06:00:00,2023-05-28 00:00:00,2023-05-27
ORD000250,CUST23852,delivered,2023-10-14 00:00:00,2023-10-14 03:00:00,2023-10-18 00:00:00,2023-10-22
ORD000299,CUST23847,delivered,2024-03-22 00:00:00,2024-03-22 03:00:00,2024-03-27 00:00:00,2024-04-03
ORD000307,CUST01899,cancelled,2023-12-09 00:00:00,2023-12-09 01:00:00,2023-12-14 00:00:00,2023-12-16
ORD000321,CUST06192,delivered,2023-11-23 00:00:00,,2023-12-02 00:00:00,2023-12-08
ORD000486,CUST00379,delivered,2024-08-08 00:00:00,2024-08-08 06:00:00,2024-08-11 00:00:00,2024-08-16
ORD000503,CUST14741,delivered,2022-10-21 00:00:00,2022-10-21 01:00:00,,2022-11-05
ORD000537,CUST26799,delivered,2023-07-31 00:00:00,2023-07-31 02:00:00,2023-08-09 00:00:00,2023-08-11
ORD000661,CUST01899,delivered,2023-05-18 00:00:00,2023-05-18 05:00:00,2023-05-22 00:00:00,2023-05-30
ORD000681,CUST16632,delivered,2023-01-21 00:00:00,2023-01-21 01:00:00,2023-01-28 00:00:00,2023-01-30
ORD000769,CUST09579,shipped,2024-07-22 00:00:00,2024-07-22 06:00:00,2024-07-30 00:00:00,2024-07-31
ORD000925,CUST16632,returned,2022-03-11 00:00:00,2022-03-11 05:00:00,2022-03-15 00:00:00,2022-03-19
ORD000934,CUST23221,delivered,2024-11-10 00:00:00,2024-11-10 02:00:00,2024-11-17 00:00:00,2024-11-22
ORD000938,CUST15995,cancelled,2024-11-13 00:00:00,2024-11-13 01:00:00,2024-11-18 00:00:00,2024-11-25
ORD000965,CUST25967,delivered,2022-12-07 00:00:00,2022-12-07 04:00:00,2022-12-14 00:00:00,2022-12-17
ORD001193,CUST17692,delivered,2022-10-21 00:00:00,2022-10-21 02:00:00,2022-10-29 00:00:00,2022-10-31
ORD001282,CUST01899,delivered,2022-11-18 00:00:00,2022-11-18 01:00:00,2022-11-27 00:00:00,2022-11-30
ORD001310,CUST16632,returned,2023-04-19 00:00:00,2023-04-19 01:00:00,2023-04-29 00:00:00,2023-04-28
ORD001427,CUST18929,delivered,2022-04-10 00:00:00,2022-04-10 01:00:00,2022-04-13 00:00:00,2022-04-17
ORD001429,CUST02096,delivered,2024-06-28 00:00:00,2024-06-28 03:00:00,2024-07-06 00:00:00,2024-07-06
ORD001671,CUST06588,processing,2024-09-18 00:00:00,2024-09-18 01:00:00,2024-09-27 00:00:00,2024-10-03
