product_id,product_name,product_category,brand,unit_price,weight_grams,stock_qty
PROD00001,Hair Oil Pro,Beauty & Personal,Tata,14958.22,4474,409
PROD00002,Water Bottle Max,Home & Kitchen,Peter England,11724.17,3410,38
PROD00003,Mixer Grinder Elite,Home & Kitchen,Samsung India,7718.18,4226,407
PROD00004,Tiffin Box Pro,Home & Kitchen,Whirlpool,515.34,3063,152
PROD00005,Smart TV Standard,Electronics,W for Woman,5446.99,1676,19
PROD00006,Tracksuit Lite,Clothing,Wildcraft,5187.98,4351,495
PROD00007,Gym Gloves Plus,Sports & Fitness,Bata,17897.63,1462,41
PROD00008,Cycling Helmet Standard,Sports & Fitness,Noise,6516.93,3202,452
PROD00009,Skipping Rope Lite,Sports & Fitness,Tata,24464.96,4856,246
PROD00010,Jacket Lite,Clothing,Havells,4640.93,4182,133
PROD00011,Pressure Cooker Lite,Home & Kitchen,Boat,22331.14,895,354
PROD00012,Atta Pro,Grocery & Food,FabIndia,9162.62,3503,476
PROD00013,Puzzle Elite,Toys & Baby,Boat,24984.17,1555,487
PROD00014,Novel Elite,Books,Boat,20103.27,3987,42
PROD00015,Drawing Kit Plus,Toys & Baby,OnePlus,15119.76,3863,81
PROD00016,Cricket Bat Pro,Sports & Fitness,W for Woman,20773.24,3160,282
PROD00017,Pressure Cooker Elite,Home & Kitchen,FabIndia,22423.26,3041,176
PROD00018,Hair Oil Max,Beauty & Personal,Dabur,24938.81,4564,53
PROD00019,Saree Standard,Clothing,Bajaj,4295.48,2799,172
PROD00020,Lego Set Pro,Toys & Baby,Wildcraft,14638.39,709,301
PROD00021,Salwar Suit Standard,Clothing,Whirlpool,9700.45,4496,73
PROD00022,Hair Oil Lite,Beauty & Personal,Dabur,9666.15,4332,240
PROD00023,T-Shirt Max,Clothing,Unbranded,15825.39,1117,304
PROD00024,Lego Set Elite,Toys & Baby,Patanjali,12627.79,999,170
PROD00025,Dupatta Max,Clothing,Amul,20271.77,1451,144
PROD00026,Kajal Standard,Beauty & Personal,Amul,8239.57,2589,360
PROD00027,Non-stick Pan Pro,Home & Kitchen,FabIndia,13272.44,3875,114
PROD00028,Smartphone Max,Electronics,Unbranded,24140.04,2661,191
PROD00029,Jeans Max,Clothing,Bata,2307.37,4579,289
PROD00030,T-Shirt Standard,Clothing,Wildcraft,6748.28,4063,0
PROD00031,Self Help Book Lite,Books,Amul,2585.26,4268,465
PROD00032,Jacket Standard,Clothing,Wildcraft,1613.85,1176,207
PROD00033,Earbuds Pro,Electronics,Boat,464.53,188,193
PROD00034,Spice Set Elite,Grocery & Food,Bata,9168.14,2137,48
PROD00035,Stuffed Animal Lite,Toys & Baby,Wildcraft,21220.12,1629,291
PROD00036,Charger Elite,Electronics,Amul,6078.85,1303,468
PROD00037,Saree Elite,Clothing,Samsung India,8143.31,989,30
PROD00038,Skipping Rope Pro,Sports & Fitness,Bata,21414.48,2466,115
PROD00039,Saree Lite,Clothing,Amul,3791.53,4830,16
PROD00040,Tracksuit Pro,Clothing,OnePlus,5958.19,2839,433
PROD00041,Gym Gloves Plus,Sports & Fitness,Whirlpool,17810.98,559,466
PROD00042,Saree Pro,Clothing,OnePlus,18537.94,4848,464
PROD00043,Sports Shoes Plus,Sports & Fitness,Havells,8998.33,4876,287
PROD00044,Power Bank Plus,Electronics,Dabur,310.93,4915,201
PROD00045,Lehenga Max,Clothing,Godrej,9568.1,4279,66
