order_id,payment_value,payment_type,payment_installments
ORD000001,27876.17,Cash on Delivery,1.0
ORD000002,3901.93,Debit Card,1.0
ORD000003,30950.58,UPI,1.0
ORD000004,90246.02,EMI,3.0
ORD000005,20994.6,Credit Card,1.0
ORD000006,47287.56,Debit Card,1.0
ORD000007,38366.88,Credit Card,1.0
ORD000008,68559.78,Cash on Delivery,1.0
ORD000009,108639.78,Cash on Delivery,1.0
ORD000010,13247.03,Net Banking,1.0
ORD000011,47194.36,Debit Card,1.0
ORD000012,32950.67,UPI,1.0
ORD000013,29826.72,UPI,1.0
ORD000014,4371.47,UPI,1.0
ORD000015,17266.63,Debit Card,1.0
ORD000016,38794.84,Cash on Delivery,1.0
ORD000017,67616.66,Debit Card,1.0
ORD000018,95185.46,UPI,1.0
ORD000019,28678.88,UPI,1.0
ORD000020,39924.08,Debit Card,1.0
ORD000021,7523.97,Debit Card,1.0
ORD000022,13793.14,Credit Card,1.0
ORD000023,77383.12,Debit Card,1.0
ORD000024,68698.68,UPI,1.0
ORD000025,57334.58,Cash on Delivery,1.0
ORD000026,83133.29,Credit Card,1.0
ORD000027,1505.34,UPI,1.0
ORD000028,8048.34,Net Banking,1.0
ORD000029,48223.94,Net Banking,1.0
ORD000030,16375.86,UPI,1.0
ORD000031,4323.62,Debit Card,1.0
ORD000032,43652.11,UPI,1.0
ORD000033,23860.23,Cash on Delivery,1.0
ORD000034,,UPI,1.0
ORD000035,21500.64,Credit Card,1.0
ORD000036,80546.59,Net Banking,1.0
ORD000037,83663.36,Net Banking,1.0
ORD000038,61835.06,Cash on Delivery,1.0
ORD000039,77011.25,Credit Card,1.0
ORD000040,5149.33,EMI,9.0
ORD000041,67613.75,UPI,1.0
ORD000042,19427.64,Cash on Delivery,1.0
ORD000043,157241.07,Credit Card,1.0
ORD000044,13777.2,Credit Card,1.0
ORD000045,48872.49,Debit Card,1.0
ORD000046,24419.19,Credit Card,1.0
ORD000047,8913.3,Debit Card,1.0
ORD000048,48195.35,UPI,1.0
ORD000049,36431.84,Debit Card,1.0
ORD000050,52886.78,,1.0
ORD000051,2910.71,Debit Card,1.0
ORD000052,43196.54,Debit Card,1.0
ORD000053,41921.44,Debit Card,1.0
ORD000054,2303.92,Net Banking,1.0
ORD000055,22668.67,Credit Card,1.0
ORD000056,61792.17,UPI,1.0
ORD000057,15338.22,Debit Card,1.0
ORD000058,115964.08,UPI,1.0
ORD000059,54779.51,Net Banking,1.0
ORD000060,54136.87,UPI,1.0
ORD000061,67454.38,Cash on Delivery,1.0
ORD000062,36786.3,Wallet,1.0
ORD000063,16732.09,UPI,1.0
ORD000064,14020.18,UPI,1.0
ORD000065,22792.14,Debit Card,1.0
ORD000066,9573.79,UPI,1.0
ORD000067,7870.7,Net Banking,1.0
ORD000068,3251.52,Net Banking,1.0
ORD000069,102852.84,UPI,1.0
ORD000070,19822.07,Cash on Delivery,1.0
ORD000071,69262.05,Debit Card,1.0
ORD000072,24351.98,EMI,12.0
ORD000073,93360.14,Cash on Delivery,1.0
ORD000074,23392.54,Wallet,1.0
ORD000075,43853.87,Debit Card,1.0
ORD000076,36189.0,Debit Card,1.0
ORD000077,18981.02,UPI,1.0
ORD000078,26372.77,UPI,1.0
ORD000079,15621.54,Debit Card,1.0
ORD000080,76837.9,Credit Card,1.0
ORD000081,19990.98,,1.0
ORD000082,28049.57,Cash on Delivery,1.0
ORD000083,39259.26,UPI,1.0
ORD000084,3351.72,UPI,1.0
ORD000085,70701.83,EMI,3.0
ORD000086,31918.15,Debit Card,1.0
ORD000087,43243.38,Net Banking,1.0
ORD000088,8253.68,Credit Card,1.0
ORD000089,40904.7,Wallet,1.0
ORD000090,23904.99,Cash on Delivery,1.0
ORD000091,13918.76,UPI,1.0
ORD000092,74517.16,Credit Card,1.0
ORD000093,49422.34,Net Banking,1.0
ORD000094,5417.68,Wallet,1.0
ORD000095,17841.88,Debit Card,1.0
ORD000096,30827.48,UPI,1.0
ORD000097,11105.81,Credit Card,1.0
ORD000098,7346.2,Debit Card,1.0
ORD000099,21073.26,Debit Card,1.0
ORD000100,43847.07,Credit Card,1.0
ORD000101,,UPI,1.0
ORD000102,6021.0,UPI,1.0
ORD000103,114221.48,UPI,1.0
ORD000104,47198.68,Credit Card,1.0
ORD000105,7106.76,EMI,9.0
ORD000106,42173.61,Credit Card,1.0
ORD000107,44930.25,UPI,1.0
ORD000108,118052.67,Debit Card,1.0
ORD000109,11296.26,UPI,1.0
ORD000110,14873.2,UPI,1.0
ORD000111,83702.96,Debit Card,1.0
ORD000112,63039.93,Cash on Delivery,1.0
ORD000113,110058.56,Cash on Delivery,1.0
ORD000114,78488.63,UPI,1.0
ORD000115,13025.8,UPI,1.0
ORD000116,99333.77,UPI,1.0
ORD000117,49805.35,UPI,1.0
ORD000118,44369.84,UPI,1.0
ORD000119,59631.22,Net Banking,1.0
ORD000120,42394.99,UPI,1.0
ORD000121,22412.6,UPI,1.0
ORD000122,79049.16,UPI,1.0
ORD000123,,Wallet,1.0
ORD000124,58030.72,Cash on Delivery,1.0
ORD000125,10295.78,Debit Card,1.0
ORD000126,59853.3,Debit Card,1.0
ORD000127,27071.76,UPI,1.0
ORD000128,25054.62,Debit Card,1.0
ORD000129,143261.84,UPI,1.0
ORD000130,45377.01,UPI,1.0
ORD000131,38045.13,Cash on Delivery,1.0
ORD000132,74641.42,Debit Card,1.0
ORD000133,73272.5,Cash on Delivery,1.0
ORD000134,20705.6,Debit Card,1.0
ORD000135,42544.14,UPI,1.0
ORD000136,21478.98,Debit Card,1.0
ORD000137,39594.65,UPI,1.0
ORD000138,91308.62,UPI,1.0
ORD000139,45080.93,UPI,1.0
ORD000140,23887.62,UPI,1.0
ORD000141,33853.62,Debit Card,1.0
ORD000142,32780.16,Cash on Delivery,1.0
ORD000143,5417.11,Debit Card,1.0
ORD000144,5924.01,Cash on Delivery,1.0
ORD000145,531.92,UPI,1.0
ORD000146,15612.33,UPI,1.0
ORD000147,18367.91,Debit Card,1.0
ORD000148,35894.4,Cash on Delivery,1.0
ORD000149,46942.52,EMI,3.0
ORD000150,51515.7,Credit Card,1.0
ORD000151,28758.41,Debit Card,1.0
ORD000152,23252.09,UPI,1.0
ORD000153,22495.86,,1.0
ORD000154,72797.32,UPI,1.0
ORD000155,1318.61,Cash on Delivery,1.0
ORD000156,88508.31,UPI,1.0
ORD000157,31647.88,Net Banking,1.0
ORD000158,57213.6,EMI,12.0
ORD000159,,Cash on Delivery,1.0
ORD000160,69049.39,UPI,1.0
ORD000161,35621.84,UPI,1.0
ORD000162,40860.44,Cash on Delivery,1.0
ORD000163,42747.16,UPI,1.0
ORD000164,29370.49,Net Banking,1.0
ORD000165,14541.12,Cash on Delivery,1.0
ORD000166,56325.27,UPI,1.0
ORD000167,69910.13,Debit Card,1.0
ORD000168,12980.85,UPI,1.0
ORD000169,11636.22,Debit Card,1.0
ORD000170,34587.12,Credit Card,1.0
ORD000171,28757.62,Debit Card,1.0
ORD000172,26120.71,UPI,1.0
ORD000173,18388.02,Credit Card,1.0
ORD000174,,UPI,1.0
ORD000175,37403.22,UPI,1.0
ORD000176,21901.62,Debit Card,1.0
ORD000177,30575.66,UPI,1.0
ORD000178,62497.52,UPI,1.0
ORD000179,39018.48,EMI,9.0
ORD000180,43137.89,,1.0
ORD000181,38217.15,UPI,1.0
ORD000182,66542.88,UPI,1.0
ORD000183,24444.69,Debit Card,1.0
ORD000184,37321.17,UPI,1.0
ORD000185,25215.52,Credit Card,1.0
ORD000186,13256.68,Net Banking,1.0
ORD000187,3770.56,Wallet,1.0
ORD000188,66296.32,Credit Card,1.0
ORD000189,69445.76,UPI,1.0
ORD000190,89803.59,Debit Card,1.0
ORD000191,19783.46,UPI,1.0
ORD000192,14323.82,UPI,1.0
ORD000193,62173.76,UPI,1.0
ORD000194,12191.43,UPI,1.0
ORD000195,594271.04,Debit Card,1.0
