product_id,product_name,product_category,brand,unit_price,weight_grams,stock_qty
PROD00001,Hair Oil Pro,Beauty & Personal,Tata,14958.22,4474.0,409.0
PROD00002,Water Bottle Max,Home & Kitchen,Peter England,11724.17,3410.0,38.0
PROD00003,Mixer Grinder Elite,Home & Kitchen,Samsung India,7718.18,4226.0,407.0
PROD00004,Tiffin Box Pro,Home & Kitchen,Whirlpool,515.34,3063.0,152.0
PROD00005,Smart TV Standard,Electronics,W for Woman,5446.99,1676.0,19.0
PROD00006,Tracksuit Lite,Clothing,Wildcraft,5187.98,4351.0,495.0
PROD00007,Gym Gloves Plus,Sports & Fitness,Bata,17897.63,1462.0,41.0
PROD00008,Cycling Helmet Standard,Sports & Fitness,Noise,6516.93,3202.0,452.0
PROD00009,Skipping Rope Lite,Sports & Fitness,Tata,24464.96,4856.0,246.0
PROD00010,Jacket Lite,Clothing,Havells,4640.93,4182.0,133.0
PROD00011,Pressure Cooker Lite,Home & Kitchen,Boat,22331.14,895.0,354.0
PROD00012,Atta Pro,Grocery & Food,FabIndia,9162.62,3503.0,476.0
PROD00013,Puzzle Elite,Toys & Baby,Boat,24984.17,1555.0,487.0
PROD00014,Novel Elite,Books,Boat,20103.27,3987.0,42.0
PROD00015,Drawing Kit Plus,Toys & Baby,OnePlus,15119.76,3863.0,81.0
PROD00016,Cricket Bat Pro,Sports & Fitness,W for Woman,20773.24,3160.0,282.0
PROD00017,Pressure Cooker Elite,Home & Kitchen,FabIndia,22423.26,3041.0,176.0
PROD00018,Hair Oil Max,Beauty & Personal,Dabur,24938.81,4564.0,53.0
PROD00019,Saree Standard,Clothing,Bajaj,4295.48,2799.0,172.0
PROD00020,Lego Set Pro,Toys & Baby,Wildcraft,14638.39,709.0,301.0
PROD00021,Salwar Suit Standard,Clothing,Whirlpool,9700.45,4496.0,73.0
PROD00022,Hair Oil Lite,Beauty & Personal,Dabur,9666.15,4332.0,240.0
PROD00023,T-Shirt Max,Clothing,,15825.39,1117.0,304.0
PROD00024,Lego Set Elite,Toys & Baby,Patanjali,12627.79,999.0,170.0
PROD00025,Dupatta Max,Clothing,Amul,20271.77,1451.0,144.0
PROD00026,Kajal Standard,Beauty & Personal,Amul,8239.57,,360.0
PROD00027,Non-stick Pan Pro,Home & Kitchen,FabIndia,13272.44,3875.0,114.0
PROD00028,Smartphone Max,Electronics,,24140.04,2661.0,191.0
PROD00029,Jeans Max,Clothing,Bata,2307.37,4579.0,289.0
PROD00030,T-Shirt Standard,Clothing,Wildcraft,6748.28,4063.0,
PROD00031,Self Help Book Lite,Books,Amul,2585.26,4268.0,465.0
PROD00032,Jacket Standard,Clothing,Wildcraft,1613.85,1176.0,207.0
PROD00033,Earbuds Pro,Electronics,Boat,464.53,188.0,193.0
PROD00034,Spice Set Elite,Grocery & Food,Bata,9168.14,2137.0,48.0
PROD00035,Stuffed Animal Lite,Toys & Baby,Wildcraft,21220.12,1629.0,291.0
PROD00036,Charger Elite,Electronics,Amul,6078.85,1303.0,468.0
PROD00037,Saree Elite,Clothing,Samsung India,8143.31,989.0,30.0
PROD00038,Skipping Rope Pro,Sports & Fitness,Bata,21414.48,2466.0,115.0
PROD00039,Saree Lite,Clothing,Amul,3791.53,4830.0,16.0
PROD00040,Tracksuit Pro,Clothing,OnePlus,5958.19,2839.0,433.0
PROD00041,Gym Gloves Plus,Sports & Fitness,Whirlpool,17810.98,559.0,466.0
PROD00042,Saree Pro,Clothing,OnePlus,18537.94,4848.0,464.0
PROD00043,Sports Shoes Plus,Sports & Fitness,Havells,8998.33,4876.0,287.0
PROD00044,Power Bank Plus,Electronics,Dabur,310.93,4915.0,201.0
PROD00045,Lehenga Max,Clothing,Godrej,9568.1,4279.0,66.0
PROD00046,Smart Watch Standard,Electronics,Bajaj,17900.1,4884.0,421.0
PROD00047,Dupatta Pro,Clothing,Peter England,17883.22,4474.0,120.0
PROD00048,Badminton Racket Plus,Sports & Fitness,W for Woman,10523.07,3986.0,337.0
PROD00049,Face Wash Lite,Beauty & Personal,Amul,8750.92,3808.0,219.0
PROD00050,Laptop Max,Electronics,OnePlus,17565.57,1934.0,70.0
PROD00051,Hair Oil Standard,Beauty & Personal,OnePlus,23725.35,,175.0
PROD00052,Smart Watch Standard,Electronics,Dabur,19829.17,114.0,197.0
PROD00053,Saree Max,Clothing,Bajaj,5769.3,3077.0,53.0
PROD00054,Cookbook Lite,Books,Wildcraft,24066.95,747.0,300.0
PROD00055,Organic Ghee Max,Grocery & Food,Amul,15261.25,2315.0,240.0
PROD00056,Atta Max,Grocery & Food,Noise,2854.25,4093.0,9.0
PROD00057,Curtain Lite,Home & Kitchen,Samsung India,8453.18,1850.0,1.0
PROD00058,Lipstick Elite,Beauty & Personal,Boat,18114.8,1705.0,211.0
PROD00059,Novel Pro,Books,W for Woman,21750.56,1256.0,354.0
PROD00060,Serum Pro,Beauty & Personal,Amul,194981.3,725.0,146.0
PROD00061,Sports Shoes Max,Sports & Fitness,Boat,3485.45,3003.0,186.0
PROD00062,Skipping Rope Standard,Sports & Fitness,,3131.62,1723.0,202.0
PROD00063,Non-stick Pan Pro,Home & Kitchen,FabIndia,8181.51,32143.45,361.0
PROD00064,Board Game Elite,Toys & Baby,Bajaj,984.74,4229.0,99.0
PROD00065,Curtain Pro,Home & Kitchen,Noise,10491.99,1034.0,69.0
PROD00066,Sunscreen Max,Beauty & Personal,Peter England,19438.41,3408.0,150.0
PROD00067,Board Game Max,Toys & Baby,Dabur,11551.46,2848.0,330.0
PROD00068,Cycling Helmet Plus,Sports & Fitness,Havells,20766.0,1050.0,482.0
PROD00069,Atlas Max,Books,Peter England,16448.49,3386.0,476.0
PROD00070,NCERT Guide Max,Books,Tata,4872.16,4130.0,312.0
PROD00071,Compact Max,Beauty & Personal,Peter England,5398.48,4105.0,284.0
PROD00072,Earbuds Standard,Electronics,Noise,8773.18,,121.0
PROD00073,Yoga Mat Lite,Sports & Fitness,Whirlpool,13473.27,2782.0,
PROD00074,Tiffin Box Pro,Home & Kitchen,Reliance,16971.92,969.0,480.0
PROD00075,Earbuds Max,Electronics,Dabur,4367.37,1535.0,272.0
PROD00076,Drawing Kit Lite,Toys & Baby,,3873.19,505.0,290.0
PROD00077,NCERT Guide Elite,Books,Marico,357.88,2722.0,48.0
PROD00078,Curtain Elite,Home & Kitchen,W for Woman,2864.68,3980.0,489.0
PROD00079,Comic Pro,Books,Havells,18807.27,3491.0,420.0
PROD00080,Gym Gloves Pro,Sports & Fitness,Noise,1430.67,4223.0,274.0
PROD00081,T-Shirt Plus,Clothing,Bajaj,15163.14,3097.0,467.0
PROD00082,Yoga Mat Pro,Sports & Fitness,Havells,15040.9,2777.0,452.0
PROD00083,Bedsheet Lite,Home & Kitchen,Patanjali,24813.08,1899.0,130.0
PROD00084,Lipstick Lite,Beauty & Personal,Bajaj,16956.12,1283.0,198.0
PROD00085,Lipstick Elite,Beauty & Personal,Samsung India,17495.5,4094.0,495.0
PROD00086,Smartphone Lite,Electronics,W for Woman,2285.35,1230.0,178.0
PROD00087,Face Wash Lite,Beauty & Personal,Samsung India,21913.63,4941.0,494.0
PROD00088,Mixer Grinder Lite,Home & Kitchen,Samsung India,8033.43,3685.0,152.0
PROD00089,Kurta Plus,Clothing,Bata,7847.01,291.0,93.0
PROD00090,Curtain Lite,Home & Kitchen,Bata,11667.49,3445.0,50.0
PROD00091,Competitive Exam Book Standard,Books,Patanjali,17704.47,,170.0
PROD00092,Tablet Max,Electronics,Samsung India,7395.49,3755.0,335.0
PROD00093,Sports Shoes Plus,Sports & Fitness,Whirlpool,19447.95,304.0,264.0
PROD00094,Pressure Cooker Max,Home & Kitchen,Reliance,6176.99,1130.0,84.0
PROD00095,Webcam Plus,Electronics,Samsung India,3110.85,3892.0,51.0
PROD00096,Cookbook Lite,Books,Bata,17431.49,836.0,171.0
PROD00097,Comic Max,Books,Marico,23042.38,2584.0,395.0
PROD00098,Bedsheet Lite,Home & Kitchen,FabIndia,22744.85,698.0,
PROD00099,Baby Rattle Elite,Toys & Baby,Reliance,1608.44,4295.0,294.0
PROD00100,Badminton Racket Pro,Sports & Fitness,Boat,9820.41,1768.0,257.0
PROD00101,Dumbbell Pro,Sports & Fitness,OnePlus,7218.39,449.0,317.0
PROD00102,Power Bank Plus,Electronics,Amul,11393.64,3753.0,52.0
PROD00103,Atlas Max,Books,Tata,1307.62,1529.0,120.0
PROD00104,Remote Car Elite,Toys & Baby,W for Woman,10295.99,2081.0,283.0
PROD00105,Skipping Rope Max,Sports & Fitness,Whirlpool,24024.52,588.0,50.0
PROD00106,Jeans Standard,Clothing,Bata,14194.38,1236.0,279.0
PROD00107,Puzzle Elite,Toys & Baby,Amul,173561.46,2260.0,306.0
PROD00108,Non-stick Pan Plus,Home & Kitchen,Amul,20239.29,1151.0,466.0
PROD00109,Board Game Standard,Toys & Baby,Patanjali,9962.79,613.0,269.0
PROD00110,Children Book Pro,Books,Patanjali,1640.3,2759.0,402.0
PROD00111,Face Cream Pro,Beauty & Personal,Marico,8841.27,3749.0,421.0
PROD00112,Dumbbell Plus,Sports & Fitness,Peter England,20359.86,4753.0,237.0
PROD00113,Jacket Max,Clothing,Havells,5562.07,1548.0,406.0
PROD00114,Dumbbell Pro,Sports & Fitness,Amul,8196.28,325.0,173.0
PROD00115,Laptop Plus,Electronics,FabIndia,6824.2,3807.0,271.0
PROD00116,Action Figure Standard,Toys & Baby,OnePlus,22455.93,3204.0,70.0
PROD00117,Atta Lite,Grocery & Food,Whirlpool,7389.46,3951.0,16.0
PROD00118,Tracksuit Plus,Clothing,Wildcraft,6045.22,1573.0,29.0
PROD00119,Board Game Pro,Toys & Baby,Marico,23182.04,550.0,7.0
PROD00120,Speaker Standard,Electronics,Tata,24993.4,2567.0,293.0
PROD00121,Novel Lite,Books,Samsung India,14858.67,4237.0,358.0
PROD00122,Jacket Max,Clothing,Tata,23372.08,961.0,187.0
