seller_id,seller_name,seller_city,seller_state,seller_pincode,seller_rating
SEL0001,Lakshmi Pillai Store,Gaya,Bihar,266756,4.0
SEL0002,Divya Saxena Store,Nashik,Maharashtra,995560,3.4
SEL0003,Kiran Malhotra Store,Mumbai,Maharashtra,825944,3.2
SEL0004,Sneha Shah Store,Bengaluru,Karnataka,996364,3.7
SEL0005,Pooja Kumar Store,Darbhanga,Bihar,422883,4.4
SEL0006,Riya Nair Store,Pune,Maharashtra,585939,2.9
SEL0007,Gaurav Malhotra Store,Nagpur,Maharashtra,942945,4.5
SEL0008,Nikhil Gupta Store,Darbhanga,Bihar,344998,3.7
SEL0009,Varun Mishra Store,Gaya,Bihar,229590,3.6
SEL0010,Yasmin Gupta Store,Rourkela,Odisha,390022,2.5
SEL0011,Suresh Tiwari Store,Belagavi,Karnataka,819463,2.8
SEL0012,Priya Chopra Store,Bhopal,Madhya Pradesh,286958,3.6
SEL0013,Gaurav Reddy Store,Varanasi,Uttar Pradesh,812613,5.0
SEL0014,Aditi Pillai Store,Bhagalpur,Bihar,415797,3.1
SEL0015,Lakshmi Verma Store,Dwarka,Delhi,464324,2.5
SEL0016,Sanjay Mishra Store,Thiruvananthapuram,Kerala,713625,
SEL0017,Priya Singh Store,Bhubaneswar,Odisha,634088,2.5
SEL0018,Ishaan Rao Store,Nashik,Maharashtra,315312,3.3
SEL0019,Aditi Joshi Store,Chennai,Tamil Nadu,930686,3.4
SEL0020,Sneha Tiwari Store,Jodhpur,Rajasthan,,2.5
SEL0021,Vijay Pandey Store,Muzaffarpur,Bihar,935839,4.4
SEL0022,Sneha Reddy Store,Vadodara,Gujarat,127203,4.8
SEL0023,Suresh Verma Store,Hubli,Karnataka,716036,5.0
SEL0024,Amit Joshi Store,Bathinda,Punjab,910544,3.8
SEL0025,Rohit Agarwal Store,Chennai,Tamil Nadu,793538,3.3
SEL0026,Riya Kumar Store,Kolkata,West Bengal,253628,
SEL0027,Yasmin Reddy Store,Nizamabad,Telangana,571568,
SEL0028,Aisha Chopra Store,Ahmedabad,Gujarat,498485,3.4
SEL0029,Aarav Shah Store,Hubli,Karnataka,571176,
SEL0030,Amit Singh Store,Janakpuri,Delhi,667472,4.6
SEL0031,Vijay Mishra Store,Darbhanga,Bihar,998835,3.0
SEL0032,Rohit Agarwal Store,Bhopal,Madhya Pradesh,172529,2.6
SEL0033,Priya Agarwal Store,Agra,Uttar Pradesh,387227,3.8
SEL0034,Kiran Bose Store,Varanasi,Uttar Pradesh,507350,
SEL0035,Zara Pandey Store,Amritsar,Punjab,785120,
SEL0036,Vijay Kumar Store,Nizamabad,Telangana,844840,4.0
SEL0037,Suresh Agarwal Store,Cuttack,Odisha,481377,3.5
SEL0038,Varun Malhotra Store,Berhampur,Odisha,526050,
SEL0039,Kavya Das Store,Nashik,Maharashtra,861558,2.6
SEL0040,Ravi Tiwari Store,Gaya,Bihar,952736,2.9
SEL0041,Zara Bose Store,Kota,Rajasthan,245694,3.6
SEL0042,Tanvi Malhotra Store,Cuttack,Odisha,263787,
SEL0043,Nikhil Mehta Store,Hubli,Karnataka,758611,4.1
SEL0044,Sanjay Gupta Store,Hyderabad,Telangana,842989,3.4
SEL0045,Sanjay Mishra Store,Mumbai,Maharashtra,965638,
SEL0046,Vikram Agarwal Store,Surat,Gujarat,606173,4.6
SEL0047,Neha Gupta Store,Janakpuri,Delhi,476414,3.9
SEL0048,Lakshmi Shah Store,Dwarka,Delhi,739226,2.6
SEL0049,Sanjay Singh Store,Vadodara,Gujarat,204092,3.5
SEL0050,Amit Iyer Store,Gwalior,Madhya Pradesh,248804,3.5
SEL0051,Sanjay Chopra Store,Ghaziabad,Uttar Pradesh,390646,4.7
SEL0052,Ravi Kumar Store,Ujjain,Madhya Pradesh,395487,3.3
SEL0053,Rajesh Pillai Store,Jaipur,Rajasthan,896016,2.7
SEL0054,Omkar Tiwari Store,Lucknow,Uttar Pradesh,345448,3.4
SEL0055,Aditi Nair Store,Rourkela,Odisha,326088,2.6
SEL0056,Rahul Sharma Store,Nizamabad,Telangana,294493,4.6
SEL0057,Amit Pandey Store,Rohini,Delhi,339160,4.0
